Verb,Model,ModelSize,Indices,Examples,Size,Coverage
воздерживаться,от_Gen,0.6,191  ,"влияние,воздействие  ",2089,0.25
воздерживаться,от_Gen,0.6,57  ,"визит,поездка  ",3415,0.5903614457831325
воздерживаться,от_Gen,0.6,212  ,"ответ,объяснение  ",2024,0.5333333333333333
воздерживаться,от_Gen,0.6,435  ,"голосование,референдум  ",673,0.5
воздерживаться,от_Gen,0.6,100  ,"соглашение,договор  ",1122,0.3285714285714286
воздерживаться,от_Gen,0.6,229  ,"использование,применение  ",1218,0.7692307692307692
воздерживаться,от_Gen,0.6,175  ,"помощь,поддержка  ",664,0.5882352941176471
воздерживаться,от_Gen,0.6,89  ,"данные,информация  ",559,0.23255813953488363
воздерживаться,от_Gen,0.6,76  ,"проведение,выполнение  ",1519,0.651515151515151
воздерживаться,от_Gen,0.6,283  ,"процесс,процедура  ",416,0.7
воздерживаться,от_Gen,0.6,629  ,"мера,степень  ",298,0.6666666666666666
воздерживаться,от_Gen,0.6,171  ,"насилие,жестокость  ",413,0.5294117647058824
воздерживаться,от_Gen,0.6,34  ,"слово,мнение  ",758,0.3295454545454544
воздерживаться,от_Gen,0.6,550  ,"угроза,опасность  ",237,0.5
воздерживаться,от_Gen,0.6,27  ,"исследование,анализ  ",558,0.29577464788732394
воздерживаться,от_Gen,0.6,38  ,"нападение,атака  ",430,0.38888888888888873
воздерживаться,от_Gen,0.6,342  ,"покупка,приобретение  ",285,0.625
воздерживаться,от_Gen,0.6,112  ,"производство,поставка  ",338,0.5416666666666666
воздерживаться,от_Gen,0.6,80  ,"создание,разработка  ",527,0.404255319148936
воздерживаться,от_Gen,0.6,304  ,"провокация,диверсия  ",147,0.4444444444444444
воздерживаться,от_Gen,0.6,401  ,"критика,нападки  ",199,0.857142857142857
воздерживаться,от_Gen,0.6,81  ,"стремление,желание  ",177,0.29032258064516125
воздерживаться,от_Gen,0.6,83  ,"преступление,убийство  ",190,0.38709677419354827
воздерживаться,от_Gen,0.6,117  ,"отношение,связь  ",247,0.31818181818181823
воздерживаться,от_Gen,0.6,273  ,"проблема,вопрос  ",101,0.10526315789473684
воздерживаться,от_Gen,0.6,73  ,"журнал,газета  ",153,0.13461538461538464
воздерживаться,от_Gen,0.6,199  ,"алкоголь,спиртное  ",172,0.3333333333333333
