Verb,Model,ModelSize,Indices,Examples,Size,Coverage
запасать,NO_Acc,0.251,198  ,"усилие,сила  ",60,0.16
запасать,NO_Acc,0.251,543  ,"продукт,товар  ",31,0.5
запасать,NO_Acc,0.251,98  ,"вода,воздух  ",31,0.1111111111111111
запасать,NO_Acc,0.251,186  ,"еда,пища  ",31,0.1875
запасать,NO_Acc,0.251,380  ,"резерв,запас  ",35,0.857142857142857
запасать,в_Loc,0.12,29  ,"клетка,организм  ",20,0.11666666666666665
дезинфицировать,NO_Acc,0.565,0  ,"дом,здание  ",150,0.10370370370370374
дезинфицировать,NO_Acc,0.565,184  ,"рана,шрам  ",101,0.5
дезинфицировать,NO_Acc,0.565,98  ,"вода,воздух  ",27,0.1111111111111111
дезинфицировать,NO_Acc,0.565,29  ,"клетка,организм  ",24,0.11666666666666665
брить,NO_Acc,0.47,4  ,"нога,рука  ",337,0.13725490196078427
брить,NO_Acc,0.47,326  ,"борода,ус  ",194,0.4444444444444444
брить,NO_Acc,0.47,58  ,"кожа,волос  ",24,0.1
афишировать,NO_Acc,0.805,117  ,"отношение,связь  ",177,0.27272727272727276
афишировать,NO_Acc,0.805,195  ,"инцидент,событие  ",49,0.2
афишировать,NO_Acc,0.805,118  ,"ситуация,случай  ",59,0.3636363636363637
афишировать,NO_Acc,0.805,80  ,"создание,разработка  ",64,0.10638297872340426
афишировать,NO_Acc,0.805,57  ,"визит,поездка  ",31,0.14457831325301204
афишировать,NO_Acc,0.805,81  ,"стремление,желание  ",21,0.16129032258064516
афишировать,NO_Acc,0.805,89  ,"данные,информация  ",24,0.10465116279069767
громыхать,NO_Nom,0.257,633  ,"гром,раскат  ",37,1.0
громыхать,NO_Nom,0.257,79  ,"поезд,автобус  ",36,0.22580645161290322
громыхать,NO_Ins,0.225,102  ,"ботинок,сапог  ",24,0.15384615384615385
громыхать,NO_Ins,0.225,17  ,"чашка,стакан  ",29,0.1645569620253165
громыхать,NO_Ins,0.225,23  ,"окно,дверь  ",27,0.1285714285714286
