Verb,Model,ModelSize,Indices,Examples,Size,Coverage
воскресать,NO_Nom,0.398,346  ,"душа,сердце  ",14,0.25
воскресать,NO_Nom,0.398,238  ,"мысль,воспоминание  ",11,0.23076923076923078
воскресать,NO_Nom,0.398,324  ,"святой,апостол  ",11,0.2222222222222222
воскресать,NO_Nom,0.398,202  ,"труп,останки  ",11,0.26666666666666666
воскресать,в_Loc,0.072,346  ,"душа,сердце  ",12,0.375
воскресать,из_Gen,0.042,237  ,"пыль,грязь  ",24,0.23076923076923078
воскресать,после_Gen,0.035,351  ,"смерть,гибель  ",70,0.5
грезить,о_Loc,0.282,436  ,"перспектива,будущее  ",26,0.5
грезить,о_Loc,0.282,548  ,"рай,ад  ",12,0.25
грезить,о_Loc,0.282,198  ,"усилие,сила  ",13,0.28
грезить,NO_Ins,0.158,317  ,"идея,концепция  ",18,0.3333333333333333
грезить,NO_Ins,0.158,436  ,"перспектива,будущее  ",12,0.3333333333333333
грезить,NO_Nom  о_Loc,0.088,581  665  ,"атеист,безбожник  вечность,бесконечность  ",12,0.3333333333333333
глушить,NO_Acc,0.449,412  ,"сигнал,импульс  ",101,0.5
глушить,NO_Acc,0.449,77  ,"вино,пиво  ",97,0.5
глушить,NO_Acc,0.449,87  ,"телеканал,канал  ",70,0.3793103448275863
глушить,NO_Acc,0.449,328  ,"радар,радиолокатор  ",10,0.2222222222222222
ворочать,NO_Ins,0.437,152  ,"сотня,десяток  ",159,0.33333333333333337
ворочать,NO_Ins,0.437,131  ,"деньга,сумма  ",82,0.2
ворочать,NO_Acc,0.175,90  ,"камень,песок  ",100,0.21428571428571425
жалить,NO_Nom,0.236,63  ,"насекомое,муравей  ",196,0.36842105263157887
жалить,NO_Acc,0.175,148  ,"враг,противник  ",13,0.3684210526315789
жалить,NO_Acc,0.175,63  ,"насекомое,муравей  ",11,0.23684210526315788
жалить,в_Acc,0.112,346  ,"душа,сердце  ",15,0.25
жалить,NO_Ins,0.105,63  ,"насекомое,муравей  ",52,0.2894736842105263
